Date,^GSPC,^IXIC,^DJI,^RUT,^VIX,AAPL,MSFT,AMZN,GOOGL,TSLA,AAL,UAL,MAR,XOM,CVX,JPM,GS,GLD,TLT
2020-04-20,2823.159912109375,8560.73046875,23650.439453125,1213.3499755859375,43.83000183105469,66.97607421875,166.9821319580078,119.68049621582031,62.62556838989258,49.75733184814453,11.0600004196167,27.790000915527344,77.11203002929688,31.61514663696289,65.41748046875,79.0357894897461,158.16439819335938,159.6999969482422,144.2578887939453
2020-04-21,2736.56005859375,8263.23046875,23018.880859375,1185.0899658203125,45.40999984741211,64.90584564208984,160.0762481689453,116.40599822998047,60.19284439086914,45.781333923339844,11.0,27.8799991607666,77.23771667480469,31.44624900817871,63.90669631958008,76.7433853149414,152.38665771484375,158.61000061035156,146.07427978515625
2020-04-22,2799.31005859375,8495.3798828125,23475.8203125,1201.52001953125,41.97999954223633,66.77534484863281,165.51324462890625,118.17449951171875,62.489505767822266,48.807334899902344,10.270000457763672,25.8799991607666,77.35370635986328,32.34449768066406,66.0985107421875,76.99332427978516,154.2891845703125,161.72999572753906,144.58192443847656
2020-04-23,2797.800048828125,8494.75,23515.259765625,1214.06005859375,41.380001068115234,66.51656341552734,163.51011657714844,119.97250366210938,63.123130798339844,47.04199981689453,10.25,25.719999313354492,78.3977279663086,33.357906341552734,67.94586944580078,77.03640747070312,153.47384643554688,163.33999633789062,145.349365234375
2020-04-24,2836.739990234375,8634.51953125,23775.26953125,1233.050048828125,35.93000030517578,68.43685913085938,166.49569702148438,120.51100158691406,63.39277267456055,48.34333419799805,10.3100004196167,25.559999465942383,78.02071380615234,33.57286071777344,68.11026763916016,78.17399597167969,155.18344116210938,162.63999938964844,145.69056701660156
2020-04-27,2878.47998046875,8730.16015625,24133.779296875,1281.8800048828125,33.290000915527344,68.48523712158203,166.01870727539062,118.80000305175781,63.10773849487305,53.25,10.020000457763672,25.0,82.42877197265625,33.73408889770508,70.22377014160156,81.54360961914062,160.91734313964844,161.55999755859375,142.9786834716797
2020-04-28,2863.389892578125,8607.73046875,24101.55078125,1298.0799560546875,33.56999969482422,67.37513732910156,161.974365234375,115.7040023803711,61.20734405517578,51.27466583251953,11.260000228881836,27.84000015258789,84.50713348388672,34.52484893798828,70.3803482055664,82.12103271484375,163.9596405029297,160.83999633789062,144.62457275390625
2020-04-29,2939.510009765625,8914.7099609375,24633.859375,1360.760009765625,31.229999542236328,69.58807373046875,169.2427978515625,118.635498046875,66.6493148803711,53.367332458496094,12.630000114440918,31.209999084472656,92.79159545898438,36.43649673461914,74.06726837158203,84.33587646484375,166.60743713378906,161.72999572753906,143.87416076660156
2020-04-30,2912.429931640625,8889.5498046875,24345.720703125,1310.6600341796875,34.150001525878906,71.05611419677734,170.94064331054688,123.69999694824219,66.87376403808594,52.12533187866211,12.010000228881836,29.579999923706055,87.90985870361328,35.676448822021484,72.01636505126953,82.52607727050781,160.81216430664062,158.8000030517578,142.19415283203125
2020-05-01,2830.7099609375,8604.9501953125,23723.689453125,1260.47998046875,37.189998626708984,69.91216278076172,166.5147705078125,114.302001953125,65.41482543945312,46.75466537475586,10.640000343322754,26.6200008392334,81.92610931396484,33.119903564453125,70.0124282836914,80.36294555664062,155.27113342285156,159.77999877929688,143.4118194580078
2020-05-04,2842.739990234375,8710.7099609375,23749.759765625,1263.969970703125,35.970001220703125,70.90135192871094,170.5876922607422,115.79949951171875,65.69190216064453,50.74599838256836,9.819999694824219,25.260000228881836,79.82839965820312,34.45575714111328,71.5780029296875,79.4063491821289,154.33303833007812,160.33999633789062,142.73719787597656
2020-05-05,2868.43994140625,8809.1201171875,23883.08984375,1273.510009765625,33.61000061035156,71.96549224853516,172.41912841796875,115.88999938964844,66.98896026611328,51.2140007019043,9.510000228881836,24.1200008392334,80.87244415283203,34.41736602783203,72.7130355834961,79.28570556640625,156.32321166992188,161.02000427246094,141.8234405517578
2020-05-06,2848.419921875,8854.3896484375,23664.640625,1263.010009765625,34.119998931884766,72.7079849243164,174.11700439453125,117.56300354003906,66.81070709228516,52.172000885009766,9.25,22.90999984741211,78.40739440917969,33.77247619628906,70.48994445800781,77.79478454589844,155.1133270263672,158.9499969482422,139.53509521484375
2020-05-07,2881.18994140625,8979.66015625,23875.890625,1282.9300537109375,31.440000534057617,73.46012115478516,175.12806701660156,118.38050079345703,67.99503326416016,52.00266647338867,9.539999961853027,22.75,83.1151351928711,33.96440505981445,72.51734924316406,78.60489654541016,159.8477325439453,161.38999938964844,141.86622619628906
2020-05-08,2929.800048828125,9121.3203125,24331.3203125,1329.6400146484375,27.979999542236328,75.20860290527344,176.1582489013672,118.98049926757812,68.74287414550781,54.62799835205078,10.140000343322754,25.420000076293945,84.26547241210938,35.45380401611328,74.73263549804688,79.88897705078125,162.53932189941406,160.4199981689453,140.0217742919922
2020-05-11,2930.18994140625,9192.33984375,24221.990234375,1321.239990234375,27.56999969482422,76.39203643798828,178.12318420410156,120.44999694824219,69.69879150390625,54.08599853515625,10.100000381469727,23.969999313354492,79.5674057006836,35.116004943847656,73.08878326416016,77.53626251220703,160.58419799804688,159.4199981689453,138.9288330078125
2020-05-12,2870.1201171875,9002.5498046875,23764.779296875,1275.5400390625,33.040000915527344,75.51900482177734,174.08836364746094,117.84750366210938,68.28801727294922,53.96066665649414,9.649999618530273,22.760000228881836,76.68670654296875,34.52903747558594,71.31187438964844,75.00253295898438,155.36753845214844,160.0399932861328,140.35479736328125
2020-05-13,2820.0,8863.169921875,23247.970703125,1233.25,35.279998779296875,74.6072006225586,171.45574951171875,118.39600372314453,66.95469665527344,52.73066711425781,9.109999656677246,20.709999084472656,72.7523193359375,32.81509780883789,69.43317413330078,72.4171371459961,150.62442016601562,161.5800018310547,141.3368377685547
2020-05-14,2852.5,8943.7197265625,23625.33984375,1237.550048828125,32.61000061035156,75.06551361083984,172.19973754882812,119.44249725341797,67.37828826904297,53.55533218383789,9.149999618530273,20.299999237060547,76.609375,33.104671478271484,70.48994445800781,75.4248275756836,152.94776916503906,163.00999450683594,142.7200927734375
2020-05-15,2863.699951171875,9014.5595703125,23685.419921875,1256.989990234375,31.889999389648438,74.62171936035156,174.70840454101562,120.48899841308594,68.1827392578125,53.27799987792969,9.039999961853027,19.920000076293945,77.10235595703125,32.86989974975586,69.79325103759766,74.0287094116211,150.68576049804688,163.92999267578125,142.35293579101562
2020-05-18,2953.909912109375,9234.830078125,24597.369140625,1333.68994140625,29.299999237060547,76.37991333007812,176.3776092529297,121.31300354003906,68.78459930419922,54.242000579833984,9.869999885559082,24.1299991607666,90.50056457519531,35.48383331298828,73.51048278808594,77.94992065429688,159.4619903564453,162.69000244140625,139.22772216796875
2020-05-19,2922.93994140625,9185.099609375,24206.859375,1307.719970703125,30.530000686645508,75.93853759765625,175.15667724609375,122.46649932861328,68.24927520751953,53.867332458496094,9.640000343322754,23.68000030517578,87.64884948730469,34.3881721496582,71.18323516845703,76.41588592529297,155.9111785888672,164.25999450683594,139.7485809326172
2020-05-20,2971.610107421875,9375.7802734375,24575.900390625,1346.9300537109375,27.989999771118164,77.41541290283203,177.5862274169922,124.89700317382812,69.97537231445312,54.37066650390625,9.869999885559082,24.90999984741211,89.59186553955078,35.507301330566406,73.8678970336914,78.70830535888672,159.07623291015625,164.64999389648438,140.16696166992188
2020-05-21,2948.510009765625,9284.8798828125,24474.119140625,1347.56005859375,29.530000686645508,76.83824157714844,175.45323181152344,122.33699798583984,69.85569763183594,55.17333221435547,9.890000343322754,25.84000015258789,88.30619812011719,34.873390197753906,73.10538482666016,77.70861053466797,157.9013671875,162.25,140.51705932617188
2020-05-22,2955.449951171875,9324.58984375,24465.16015625,1355.530029296875,28.15999984741211,77.33296966552734,175.52975463867188,121.84400177001953,70.17797088623047,54.45866775512695,9.699999809265137,25.399999618530273,88.01618957519531,34.904701232910156,71.70747375488281,77.10535430908203,157.75233459472656,163.2100067138672,141.3624267578125
2020-05-26,2991.77001953125,9340.2197265625,24995.109375,1393.0699462890625,28.010000228881836,76.80916595458984,173.67408752441406,121.09300231933594,70.5816879272461,54.591331481933594,11.140000343322754,29.540000915527344,91.7572250366211,35.9299201965332,74.1061782836914,82.5777816772461,171.8941650390625,160.88999938964844,139.466796875
2020-05-27,3036.1298828125,9412.3603515625,25548.26953125,1436.3599853515625,27.6200008392334,77.14380645751953,173.90365600585938,120.51950073242188,70.52755737304688,54.68199920654297,11.979999542236328,30.690000534057617,94.69593811035156,36.18818664550781,74.582763671875,87.36077880859375,183.81787109375,161.17999267578125,139.2105255126953
2020-05-28,3029.72998046875,9368.990234375,25400.640625,1400.6700439453125,28.59000015258789,77.1777572631836,173.51148986816406,120.05500030517578,70.42626953125,53.72066879272461,10.979999542236328,28.889999389648438,88.58651733398438,35.249046325683594,72.17609405517578,86.05946350097656,176.41818237304688,161.72000122070312,138.69822692871094
2020-05-29,3044.31005859375,9489.8701171875,25383.109375,1394.0400390625,27.510000228881836,77.10260772705078,175.2810516357422,122.11849975585938,71.18502807617188,55.66666793823242,10.5,28.040000915527344,85.55115509033203,35.585575103759766,72.83534240722656,83.86187744140625,173.3480682373047,162.91000366210938,139.68875122070312
2020-06-01,3055.72998046875,9552.0498046875,25475.01953125,1405.3699951171875,28.229999542236328,78.05078887939453,174.8793182373047,123.552001953125,71.25206756591797,59.87333297729492,11.109999656677246,29.459999084472656,91.86357116699219,36.2194938659668,73.70109558105469,84.97358703613281,176.3828582763672,163.66000366210938,138.748291015625
2020-06-02,3080.820068359375,9608.3798828125,25742.650390625,1418.2099609375,26.84000015258789,78.412109375,176.86888122558594,123.62049865722656,71.62151336669922,58.770668029785156,11.220000267028809,29.90999984741211,92.42424774169922,37.02558135986328,75.21024322509766,85.25798034667969,180.09706115722656,162.60000610351562,138.243896484375
